Bureau,Gender,Grade,Title,Name,YearsService
Global Criminal Justice (GCJ),female,FS-1,Manager,Latoya Clark,15
Counterterrorism (CT),male,GS-7,Team Member,   Glenn Williams,17
Comptroller and Global Financial Services (CGFS),female,N/A,Team Member,     Lori Snow,24
"Democracy, Human Rights, and Labor (DRL)",male,FS-5,Team Member,James Fluegge    ,6
"Management Policy, Rightsizing and Innovation (PRI)",male,FS-5,Team Member,Billy Jamison,21
Consular Affairs (CA),male,SES-2,Executive, Barry Lindsey,18
Quadrennial Diplomacy and Development Review (QDDR),female,FS-3,Manager,    Molly Kimbrel    ,8
Counterterrorism (CT),female,FS-8,Team Member, Florence Caswell,22
International Security and Nonproliferation (ISN),female,GS-7,Analyst,Carmen Bryon,4
Human Resources (DGHR),female,SFS-2,Executive,  Luz Fino,20
Energy Resources (ENR),female,GS-14,Manager,   Valerie Hall,15
Consular Affairs (CA),male,FS-6,Analyst,Douglas Esparza,25
Legislative Affairs (H),female,FS-4,Team Member,Kaylene Hershberger,13
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-2,Mgmt,Gail Lewis,2
Administration (A),female,FS-1,Manager,    Judy Showalter,12
Trafficking in Persons (TIP),male,FS-7,Team Member,Kevin Stagg,6
"Management Policy, Rightsizing and Innovation (PRI)",male,GS-10,Team Member,Richard Aaron ,7
"Management Policy, Rightsizing and Innovation (PRI)",male,FS-7,Team Member,Len Rodriguez  ,13
Near Eastern Affairs (NEA),male,FS-4,Team Member,Michael Orr     ,22
Quadrennial Diplomacy and Development Review (QDDR),female,GS-14,Mgmt,Sharon Pagan,23
International Organization Affairs (IO),female,FS-1,Manager,    Conner,18
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-5,Analyst,     John Curly,19
Oceans and International Environmental and Scientific Affairs(OES),female,N/A,Manager,Rebecca Ramirez  ,18
Conflict and Stabilization Operations (CSO),male,GS 9,Team Member,  Martin Anderson,24
Foreign Missions (OFM),male,N/A,Team Member,Trenton Hernandez,9
Protocol (S/CPR),male,FS-7,Team Member,Jason Helwig,3
Counterterrorism (CT),male,GS-13,Team Member,Bobby Dickerson,12
Human Resources (DGHR),male,FS-4,Team Member,Larry Lyles,14
Educational and Cultural Affairs (ECA),female,GS-15,Manager, Michelle Sembler ,6
Mission to the United Nations (USUN),male,FS-7,Team Member,John Leese,24
Legislative Affairs (H),male,N/A,Team Member,Carlos Gray,7
Allowances (A/OPR/ALS),male,GS-10,Team Member,Jimmie Vaughan,13
Budget and Planning (BP),female,GS13,Team Member,Coleman,16
Counterterrorism (CT),female,GS-15,Manager,Maryann Hutton,24
Oceans and International Environmental and Scientific Affairs(OES),male,FS-4,Team Member,Earl Kifer,15
Protocol (S/CPR),male,FS-3,Manager,Daniel Pearson,4
Energy Resources (ENR),female,FS9,Analyst,Lolita Hart,7
Counterterrorism (CT),female,N/A,Analyst,Grace Bautista,19
Oceans and International Environmental and Scientific Affairs(OES),female,FS-3,Mgmt,Emma Amin ,17
Chief Information Officer (CIO),female,GS-14,Manager,     Victoria Cauley   ,16
Human Resources (DGHR),female,GS-12,Team Member,Adriana Harper,18
Budget and Planning (BP),male,GS-8,Team Member,    Eugene Brumble,22
Diplomatic Security (DS),male,FS-6,Team Member,  Daniel Burchette,4
East Asian and Pacific Affairs (EAP),male,FS-1,Manager,Andrew Minor   ,22
International Organization Affairs (IO),female,FS-4,Team Member,Edith Dooley,25
Educational and Cultural Affairs (ECA),male,FS-8,Team Member,   Vincent Palacios,19
Medical Services (MED),male,FS-2,Manager,Richard Balistreri,16
Quadrennial Diplomacy and Development Review (QDDR),female,GS-14,Manager,Cathy Shipman,2
"Democracy, Human Rights, and Labor (DRL)",female,GS-9,Team Member,Harriet Green,13
Foreign Missions (OFM),female,GS-15,Manager,Alisa Strange,19
Medical Services (MED),female,FS-5,Team Member,Tabitha Reed   ,24
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-6,Analyst,    Katherine Craft,2
Protocol (S/CPR),male,FS-1,Manager,     William Herring,4
Diplomatic Security (DS),female,N/A,Team Member,Crystal Hazlett,3
Director General of the Foreign Service and Director of Human Resources (DGHR),female,GS 14,Manager,Naomi Bridenbaker  ,4
Science & Technology Adviser (STAS),male,FS-6,Team Member,Steve Sawyer,15
Medical Services (MED),male,FS-4,Team Member,Troy Davey,19
Conflict and Stabilization Operations (CSO),male,FS-4,Team Member,Gerald Junkin,23
Consular Affairs (CA),female,GS 13,Team Member,Margaret Sommers,9
Foreign Missions (OFM),female,FS-5,Team Member,Monica Carnahan     ,21
Intelligence and Research (INR),male,FS-3,Mgmt,Howard Ewing,18
Conflict and Stabilization Operations (CSO),male,FS-1,Manager,   Scott Stewart,9
Protocol (S/CPR),male,FS-9,Team Member,Silas Masten,5
Information Resource Management (IRM),female,GS-12,Team Member,Marianne Ward,20
Consular Affairs (CA),male,GS-12,Team Member,Jonathan Frazier,1
Oceans and International Environmental and Scientific Affairs(OES),female,GS-12,Team Member,Mary Sweney,24
Budget and Planning (BP),male,N/A,Team Member,Stephan Mikesell,14
Near Eastern Affairs (NEA),female,FS-5,Team Member,Violet Lewis,20
Executive Secretariat (S/ES),female,GS-13,Manager,Tracy John,10
Global Youth Issues (GYI),female,FS-3,Manager,Jocelyn Garcia    ,11
Global Women's Issues (S/GWI),female,FS-3,Manager, Annie Close,7
International Security and Nonproliferation (ISN),female,FS 8,Team Member,    Bertha Brumfield,10
Counterterrorism (CT),male,FS8,Team Member,     Reggie Wilcox,10
International Organization Affairs (IO),female,GS-8,Team Member,  Brandy Morales  ,5
Science & Technology Adviser (STAS),male,FS-5,Team Member,Michael Carey,2
Counterterrorism (CT),male,GS 14,Manager,Ismael Schneider,15
Policy Planning Staff (S/P),female,GS-15,Manager,    Mary Rubert,23
Trafficking in Persons (TIP),female,SFS-5,Executive, Amanda Ruiz  ,24
Inspector General (OIG),male,FS-2,Manager,Alan Archer,12
Human Resources (DGHR),female,FS-8,Team Member,Sandra Smith,4
Human Resources (DGHR),male,GS-8,Team Member,Joseph Lambert,16
Intelligence and Research (INR),female,FS-8,Team Member,Janessa Suggs,16
Oceans and International Environmental and Scientific Affairs(OES),female,N/A,Team Member,Lisa Barry,11
Inspector General (OIG),male,FS-3,Manager,Frederick Chafin,6
International Security and Nonproliferation (ISN),female,SFS-3,Executive, Dollie Torres,21
Science & Technology Adviser (STAS),female,GS-7,Team Member,Kimberly Mckie,25
Global Engagement Center(GEC),female,FS-3,Manager,    Phyllis Byrd,2
Near Eastern Affairs (NEA),female,FS-5,Team Member,Krystal Corso,22
Energy Resources (ENR),male,FS-2,Manager,Curtis Griffith,18
Human Resources (DGHR),female,SES-2,Executive,Deloris Christiansen,21
Protocol (S/CPR),male,GS-10,Team Member, Terry Guidi     ,13
Legislative Affairs (H),female,FS-2,Manager,Julie Gamble,3
Energy Resources (ENR),female,N/A,Mgmt,    Ann Buckner  ,24
Policy Planning Staff (S/P),female,FS-2,Manager,    Cherie Mcdonald     ,17
Diplomatic Security (DS),female,FS-1,Manager,    Rachel Liles,14
Administration (A),female,N/A,Team Member,Keshia Quince,19
Trafficking in Persons (TIP),male,N/A,Manager,Oscar Todd ,21
Director General of the Foreign Service and Director of Human Resources (DGHR),female,GS-14,Manager,Rene Whitlock   ,15
Director General of the Foreign Service and Director of Human Resources (DGHR),female,N/A,Team Member,Klar ,13
Human Resources (DGHR),male,N/A,Team Member,Leeper   ,5
Global Youth Issues (GYI),female,FS-3,Manager,Emily Henry   ,11
Legislative Affairs (H),female,FS-9,Team Member,Deberry,23
International Information Programs (IIP),male,FS3,Manager,Armando Mata,22
Conflict and Stabilization Operations (CSO),female,FS3,Manager,Charlotte Sage    ,22
Executive Secretariat (S/ES),male,FS-3,Manager,Steven Galban,1
Overseas Buildings Operations (OBO),male,FS-3,Mgmt,Jason Champion     ,2
Protocol (S/CPR),male,GS-9,Team Member,    Cassels,24
International Information Programs (IIP),female,FS-5,Team Member,Alexis Crump ,1
International Narcotics and Law Enforcement Affairs (INL),male,N/A,Team Member,Walter Souliere,11
"Democracy, Human Rights, and Labor (DRL)",male,GS-12,Analyst,Paul Lawson,11
Conflict and Stabilization Operations (CSO),female,FS-9,Team Member,Vicki Taylor,8
Allowances (A/OPR/ALS),male,N/A,Team Member,Jesus Groves,21
East Asian and Pacific Affairs (EAP),female,GS-13,Manager,Gina Schwartz,17
Diplomatic Security (DS),female,FS4,Analyst,    Hall,23
Policy Planning Staff (S/P),female,GS-15,Manager,   Edna Watson,19
Oceans and International Environmental and Scientific Affairs(OES),male,FS-1,Mgmt,  Robert Wood,25
"Democracy, Human Rights, and Labor (DRL)",male,GS-7,Team Member,Flynn,12
Administration (A),male,GS-12,Team Member,Theodore Stafford ,1
International Organization Affairs (IO),male,FS-2,Manager,Billy Saucedo,10
Executive Secretariat (S/ES),male,N/A,Manager,William Smith,7
Information Resource Management (IRM),female,N/A,Manager,    Peggy Lopez,8
Policy Planning Staff (S/P),male,FS-3,Manager,Henry Grimes,20
Executive Secretariat (S/ES),male,FS-5,Team Member,Larry Stonge     ,8
Chief Information Officer (CIO),female,N/A,Team Member,Louise Lawrence,8
Comptroller and Global Financial Services (CGFS),female,FS-3,Manager,     Janice Phillips   ,6
"Democracy, Human Rights, and Labor (DRL)",male,FS-8,Team Member,  John Hartz,17
Comptroller and Global Financial Services (CGFS),male,FS-5,Team Member,Ray Howard,4
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS11,Team Member,Billy Buckley  ,2
Conflict and Stabilization Operations (CSO),female,GS-13,Team Member,  Sharon Smith,10
Diplomatic Security (DS),male,FS-3,Manager,Calvin Scarbrough,14
Legislative Affairs (H),female,N/A,Team Member,Emily Trentman,9
International Security and Nonproliferation (ISN),female,GS-11,Team Member,Vicki Sanchez   ,1
International Organization Affairs (IO),female,N/A,Manager,Angela Terry,14
Information Resource Management (IRM),female,FS-6,Team Member,  Annice Jackson,15
Foreign Assistance (F),female,FS-3,Manager,Ellen Sallee ,12
Administration (A),female,FS-9,Team Member,Anna Brown  ,7
Legislative Affairs (H),male,SFS 4,Executive,James Daniel,18
Legal Adviser (L),female,N/A,Team Member,Wilma Fahnestock,15
"Democracy, Human Rights, and Labor (DRL)",male,N/A,Manager,David Simmons,1
Science & Technology Adviser (STAS),female,GS-14,Mgmt,Venus Bentley,16
Oceans and International Environmental and Scientific Affairs(OES),female,FS-9,Team Member, Maria Baines,13
Global Youth Issues (GYI),male,N/A,Team Member,Rex Honig,4
"Democracy, Human Rights, and Labor (DRL)",female,FS-8,Team Member,Alina Turbacuski ,2
Protocol (S/CPR),female,GS-15,Manager,Benjamin,24
Near Eastern Affairs (NEA),male,GS-12,Team Member,   Zachary Mason   ,22
Global Youth Issues (GYI),female,FS-7,Team Member,Lela Smith,12
Energy Resources (ENR),male,FS 9,Team Member, Darren Sapp,14
Conflict and Stabilization Operations (CSO),male,FS 8,Team Member,  John Burke,10
Director General of the Foreign Service and Director of Human Resources (DGHR),female,N/A,Manager,Frances Mailloux,10
Legal Adviser (L),male,GS 14,Manager,   Bradley Simmons,5
Conflict and Stabilization Operations (CSO),male,FS-6,Team Member,Dale Haskins,10
Global AIDS Coordinator (S/GAC),male,FS-7,Team Member,Curtis Bufford,18
International Organization Affairs (IO),female,N/A,Team Member,Kimberly Felmet,13
Educational and Cultural Affairs (ECA),male,N/A,Analyst,Jim Carlson    ,11
Medical Services (MED),female,FS-6,Team Member,Debroah Montgomery,23
Western Hemisphere Affairs (WHA),female,FS-4,Team Member,  Jensen,21
Global Youth Issues (GYI),female,FS-1,Mgmt,Mary Thomas   ,14
Energy Resources (ENR),male,GS-15,Manager,  Francis Bartoletti,11
Medical Services (MED),male,GS-8,Team Member, Edgardo Long,1
"Democracy, Human Rights, and Labor (DRL)",male,GS-14,Manager,  Rudy Learn   ,7
Foreign Missions (OFM),female,GS 9,Team Member,Sheri Clapham,23
Mission to the United Nations (USUN),male,GS-13,Manager, Howard Blue,17
Conflict and Stabilization Operations (CSO),male,N/A,Manager,Loren Norton,8
Medical Services (MED),female,N/A,Team Member,Alexandria Schick ,23
Mission to the United Nations (USUN),female,FS-2,Manager,Adela Stansbury,7
Intelligence and Research (INR),male,FS-1,Manager,Dickson ,15
Conflict and Stabilization Operations (CSO),female,SES-2,Executive,Justina Ferguson  ,23
Trafficking in Persons (TIP),female,FS-2,Manager,Rose Spence,16
International Organization Affairs (IO),male,SES-4,Executive,Kevin Trout,20
International Information Programs (IIP),male,N/A,Manager,Todd Koetje    ,9
Human Resources (DGHR),female,N/A,Team Member,Aida Martindale,5
Counterterrorism (CT),male,FS-3,Manager,    Ronald Carter,12
Mission to the United Nations (USUN),female,FS-1,Manager,   Peggie Aveado,7
East Asian and Pacific Affairs (EAP),male,FS-8,Team Member,Henry Reichel,14
Allowances (A/OPR/ALS),male,GS-13,Manager,    Mark Phillips,10
Budget and Planning (BP),female,GS-13,Mgmt,Kathleen Suzuki,25
Legislative Affairs (H),male,GS-13,Manager,Jeffrey Fowler,22
Policy Planning Staff (S/P),male,GS-13,Manager,Donald Murdoch     ,21
Foreign Assistance (F),female,SFS-3,Executive,    Ruth Robinson     ,18
Conflict and Stabilization Operations (CSO),female,GS-13,Team Member,  Laura Redmond,18
International Security and Nonproliferation (ISN),female,GS-8,Analyst, Deborah Wetzel,6
Administration (A),male,N/A,Analyst,    Jeffrey Cote,8
Energy Resources (ENR),male,FS 7,Team Member,Goebel,10
Administration (A),male,FS-5,Team Member,Nicholas Farr,6
Mission to the United Nations (USUN),male,GS-15,Manager,Rodney Silverman,20
Policy Planning Staff (S/P),male,FS-4,Team Member,Nathaniel Park,9
Conflict and Stabilization Operations (CSO),female,GS-13,Manager, Dahlia Washington,23
Chief Information Officer (CIO),female,GS-10,Team Member, Mamie Wyatt,20
Administration (A),male,N/A,Team Member,Derrick Rehlander,4
Medical Services (MED),male,GS-11,Team Member,     Tucker,13
Inspector General (OIG),male,GS-7,Analyst,    Thomas Pierson,11
Public Affairs (PA),female,N/A,Manager,Justine Jack,2
Conflict and Stabilization Operations (CSO),female,N/A,Team Member,  Audrey Wendte,16
Administration (A),male,FS-3,Manager,Damien Krebs,23
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS-11,Team Member,Fleming,22
Global Youth Issues (GYI),male,GS-13,Mgmt,Anthony Sanchez,20
International Narcotics and Law Enforcement Affairs (INL),female,N/A,Team Member,Anna Bonilla,13
Allowances (A/OPR/ALS),male,FS 4,Team Member,Michael Crocker,9
Comptroller and Global Financial Services (CGFS),female,N/A,Team Member,Fawn Zubia   ,22
Legislative Affairs (H),female,FS8,Team Member,Vivian Stewart,25
Diplomatic Security (DS),female,FS-6,Team Member,Nicole Muniz,25
"Democracy, Human Rights, and Labor (DRL)",female,N/A,Team Member,Michelle Kofford,9
Administration (A),male,FS-2,Mgmt,Robert Davis,10
Foreign Missions (OFM),male,GS-7,Team Member, Jean Martinez    ,20
Global AIDS Coordinator (S/GAC),female,FS-1,Manager,Cynthia Perez,18
Policy Planning Staff (S/P),male,FS-8,Team Member,   Charles Bowden,1
"Democracy, Human Rights, and Labor (DRL)",male,FS-2,Manager,     Richard Harriss  ,8
"Arms Control, Verification and Compliance (AVC)",male,GS-13,Team Member,Carlos Derby   ,1
Global AIDS Coordinator (S/GAC),male,N/A,Team Member,Anthony Jessie,22
Chief Information Officer (CIO),female,N/A,Team Member,Lucia Choe    ,17
Inspector General (OIG),male,FS-1,Manager,Vagliardo,17
Foreign Missions (OFM),male,FS-1,Manager,Randy Heath,25
Conflict and Stabilization Operations (CSO),male,N/A,Team Member,Chad Crosby,24
Mission to the United Nations (USUN),male,FS7,Team Member,    Michael Hayes,23
Legislative Affairs (H),female,GS-13,Manager,Amber Wilson    ,5
Inspector General (OIG),female,N/A,Manager,Elizabeth Armstrong  ,21
Administration (A),female,SFS-3,Executive,Delilah Preston,20
Chief Information Officer (CIO),male,FS-1,Manager,Timothy Gee,5
International Organization Affairs (IO),male,GS-10,Team Member,     Thomas Sanders,12
Diplomatic Security (DS),female,FS-7,Team Member,Susan Rice,13
Administration (A),male,FS9,Team Member,Gary Fletcher    ,18
Science & Technology Adviser (STAS),female,GS-10,Team Member, Arlene Parsons,19
Economic and Business Affairs (EB),male,GS-9,Analyst,Kenneth Mclead,24
Comptroller and Global Financial Services (CGFS),male,FS-3,Manager,  Tinney   ,2
Administration (A),female,N/A,Team Member,Leilani Garcia,16
Information Resource Management (IRM),male,GS-11,Team Member,Roy Smith,3
Foreign Missions (OFM),male,N/A,Team Member,Elton Collins,6
Overseas Buildings Operations (OBO),female,FS-6,Team Member,     Lona Garrison,18
Budget and Planning (BP),male,FS3,Manager,Carlos Smith,11
Information Resource Management (IRM),female,FS 9,Team Member,Laura Gallego ,7
Global Youth Issues (GYI),female,N/A,Team Member,Mary Vitt,24
Oceans and International Environmental and Scientific Affairs(OES),female,FS-6,Team Member,     Niki Loomis,12
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-2,Manager,    Harold French,25
Public Affairs (PA),male,FS 1,Manager,Joseph Osborne,25
Diplomatic Security (DS),male,N/A,Team Member,Richard Weinstein,11
Information Resource Management (IRM),male,SFS-3,Executive,Raymond Salazar,20
Budget and Planning (BP),female,GS-7,Analyst,Outwater,5
Policy Planning Staff (S/P),female,N/A,Manager,  Brown    ,12
Counterterrorism (CT),female,FS-3,Manager,Josephine Roy,17
Comptroller and Global Financial Services (CGFS),male,GS-11,Team Member,Kincaid,11
Diplomatic Security (DS),female,FS-3,Manager,Lori Laffoon  ,12
Diplomatic Security (DS),male,GS-13,Team Member, Craig Davis,10
Global Youth Issues (GYI),male,FS-4,Analyst,     Thomas Madsen ,7
Protocol (S/CPR),female,FS-3,Mgmt,Garnet Stone,22
Budget and Planning (BP),male,N/A,Manager,Ralph Taylor,1
Political-Military Affairs (PM),female,GS-7,Team Member,    Kimberly Ross ,2
Global Youth Issues (GYI),female,FS-4,Team Member,  Gail Drumgoole,1
"Democracy, Human Rights, and Labor (DRL)",male,SFS-3,Executive,Tyson Aho,24
Public Affairs (PA),male,FS1,Manager,Stacy Obenshain  ,2
Administration (A),male,GS-9,Analyst,Amyotte   ,11
"Democracy, Human Rights, and Labor (DRL)",male,N/A,Manager,Robert Rutland,9
Medical Services (MED),male,FS-5,Team Member,    Howard Ledesma,18
Counterterrorism (CT),male,GS-9,Team Member,Jerry Rogers,19
Legal Adviser (L),male,GS-13,Mgmt,David Potts,7
Oceans and International Environmental and Scientific Affairs(OES),male,FS 1,Manager,    Randy Shelton     ,7
"Democracy, Human Rights, and Labor (DRL)",male,FS2,Manager,  Patrick Allen,21
Medical Services (MED),female,N/A,Team Member,Taryn Valentine,22
East Asian and Pacific Affairs (EAP),male,N/A,Team Member,Wilson Billington   ,6
Counterterrorism (CT),female,N/A,Team Member,     Gloria Blake   ,14
Consular Affairs (CA),female,FS-1,Manager,Billie Soto,13
Administration (A),female,FS4,Team Member,   Rhoda Hartzell,23
Foreign Missions (OFM),female,FS-7,Team Member, Taryn Malinoski,19
"Democracy, Human Rights, and Labor (DRL)",female,FS-5,Team Member,Lillian Smart    ,18
Mission to the United Nations (USUN),female,N/A,Manager,   Alicia Randle,11
Trafficking in Persons (TIP),male,N/A,Analyst,Matthew Khan     ,8
Economic and Business Affairs (EB),female,FS-5,Team Member, Jean Rutan,20
Comptroller and Global Financial Services (CGFS),female,GS-13,Team Member,Karen Rasmussen,11
Administration (A),female,FS 9,Team Member, Ball,21
Executive Secretariat (S/ES),female,FS-9,Team Member,Kelly,25
International Organization Affairs (IO),female,FS-7,Team Member,Patricia Dodd,20
Policy Planning Staff (S/P),female,GS-9,Team Member,Elaine White,15
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-1,Manager,James Miller    ,24
Quadrennial Diplomacy and Development Review (QDDR),female,N/A,Team Member,   Vida Norman  ,10
Political-Military Affairs (PM),female,GS-11,Team Member,     Melba Daley,12
Policy Planning Staff (S/P),male,N/A,Manager,Carlos Thibault,21
Legislative Affairs (H),female,N/A,Manager,Katrina Baker,12
Comptroller and Global Financial Services (CGFS),female,FS 5,Team Member,Tyrer     ,17
International Organization Affairs (IO),male,FS 5,Team Member,Paul Eason,2
Foreign Missions (OFM),male,N/A,Manager,George Koontz  ,25
Chief Information Officer (CIO),female,N/A,Manager,  Virginia Warren,5
East Asian and Pacific Affairs (EAP),female,GS-14,Manager,Joyce Koehler,12
Mission to the United Nations (USUN),male,FS 6,Team Member,Albert Smith   ,10
Budget and Planning (BP),female,N/A,Team Member,     Klyce,8
Protocol (S/CPR),male,GS-14,Manager,Smith,24
Legislative Affairs (H),female,N/A,Manager, Veronica Avila  ,16
Conflict and Stabilization Operations (CSO),female,GS-11,Team Member,Jennifer Aronson,13
International Narcotics and Law Enforcement Affairs (INL),female,FS-6,Team Member,  Betty Berrios ,17
Economic and Business Affairs (EB),male,GS-11,Team Member,Albert Cowen,23
Medical Services (MED),female,N/A,Team Member, Virginia Brown     ,20
Overseas Buildings Operations (OBO),female,GS-8,Team Member,     Maria Durie,24
Science & Technology Adviser (STAS),female,N/A,Manager,Rita Lingo,9
Budget and Planning (BP),female,FS-8,Team Member,Aleta Hatch,15
Western Hemisphere Affairs (WHA),male,FS-9,Team Member,Long,25
Counterterrorism (CT),male,FS-9,Team Member,Frank Ward  ,2
Administration (A),male,FS-3,Manager,   Harry Davidson,3
Energy Resources (ENR),male,FS5,Team Member,George Proffitt   ,15
Economic and Business Affairs (EB),female,FS9,Team Member, Deborah Hammond     ,11
Comptroller and Global Financial Services (CGFS),male,N/A,Mgmt,Kenneth Walker    ,10
Near Eastern Affairs (NEA),male,FS 5,Team Member,     Michael Troise ,5
Legal Adviser (L),female,GS 14,Manager,Sarah Williams,11
Human Resources (DGHR),female,N/A,Team Member,Eloisa Davis ,7
Chief Information Officer (CIO),female,GS-13,Manager,Frances Ates,2
Educational and Cultural Affairs (ECA),male,FS-2,Mgmt,Berman,17
European and Eurasian Affairs (EUR),female,FS 9,Team Member,     Tiffany Mccurry ,17
Oceans and International Environmental and Scientific Affairs(OES),male,GS-14,Manager,Joseph Nolan,16
Conflict and Stabilization Operations (CSO),male,FS-6,Team Member,Walter Kutch,16
East Asian and Pacific Affairs (EAP),male,FS-4,Team Member,Amos Gullion,7
Science & Technology Adviser (STAS),female,FS 2,Manager,Young,8
Science & Technology Adviser (STAS),male,FS-1,Manager,Erich Dimond     ,2
Counterterrorism (CT),female,FS-8,Team Member,Bernice Rust,11
"Arms Control, Verification and Compliance (AVC)",female,N/A,Team Member,Sheila Fritz,21
Protocol (S/CPR),male,FS-3,Manager,Burden,22
Trafficking in Persons (TIP),male,GS13,Team Member,William Heckert,19
Protocol (S/CPR),female,GS11,Team Member,Sherry Weathers,15
International Organization Affairs (IO),female,FS-1,Manager,Ruth Gordon,4
Energy Resources (ENR),male,N/A,Team Member,    Tim Randles,11
Legislative Affairs (H),male,FS-1,Manager,Edward Johnston,25
Energy Resources (ENR),female,FS 2,Manager,Mary Deshields,20
Policy Planning Staff (S/P),male,FS 7,Team Member,John Diaz,3
Intelligence and Research (INR),female,SFS-1,Executive,Tanya Borders,23
Conflict and Stabilization Operations (CSO),male,FS-6,Team Member,Boyce Brown,7
Legislative Affairs (H),male,GS-14,Manager,Patrick Grandy     ,6
Trafficking in Persons (TIP),male,N/A,Manager,Frank Robinson,14
Conflict and Stabilization Operations (CSO),female,GS-11,Team Member,Jo Holliday    ,18
Science & Technology Adviser (STAS),female,FS9,Team Member,  Jane Copeland,24
Global Youth Issues (GYI),male,GS13,Manager,Brian Horne,25
Comptroller and Global Financial Services (CGFS),male,GS-13,Team Member,Dennis Michaud  ,4
"Democracy, Human Rights, and Labor (DRL)",female,SFS-5,Executive,Agnes Putnam,18
Legislative Affairs (H),female,GS-12,Team Member,Carolyn Knowles     ,13
Medical Services (MED),male,FS-5,Team Member,Donnie Winger,8
"Democracy, Human Rights, and Labor (DRL)",male,GS10,Analyst,Richard Marroquin     ,17
Chief Information Officer (CIO),female,FS-3,Manager,  Gina Tharp    ,23
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS-14,Manager,     James Clingerman   ,24
Global Women's Issues (S/GWI),female,GS-14,Manager,Karen Arrington,6
Global Women's Issues (S/GWI),female,GS-13,Manager,Cynthia Meagher,7
Conflict and Stabilization Operations (CSO),male,GS-12,Team Member, William Mattews,11
Human Resources (DGHR),male,FS-4,Team Member,     Donald Dolan,19
Intelligence and Research (INR),female,SFS-3,Executive,  Pauline Renteria,21
Trafficking in Persons (TIP),male,FS-4,Team Member,Larry Covey,1
Foreign Missions (OFM),female,FS-1,Manager,  Marsha Teston,17
Counterterrorism (CT),female,FS-5,Team Member,Hope Pierre,23
"Arms Control, Verification and Compliance (AVC)",male,FS-4,Team Member,Frank Weber,21
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS6,Team Member,John Tidwell,8
Administration (A),female,FS-4,Team Member,Amy Knight,17
Conflict and Stabilization Operations (CSO),female,N/A,Team Member,Michelle Sakamoto ,23
"Arms Control, Verification and Compliance (AVC)",male,GS-8,Team Member, Flores,20
Educational and Cultural Affairs (ECA),male,N/A,Team Member,Dwayne Pokswinski,1
Oceans and International Environmental and Scientific Affairs(OES),female,SFS1,Executive,Sarah Rivas,19
Global Youth Issues (GYI),female,FS-1,Manager,     Eileen Duckett    ,16
Human Resources (DGHR),male,N/A,Team Member,Robert Cooper,11
Medical Services (MED),male,GS-11,Team Member,Richard Sullivan   ,6
Administration (A),male,SFS-5,Executive,Dario Leitheiser,19
Foreign Missions (OFM),female,FS5,Team Member,    Stacy Palmer,19
Budget and Planning (BP),female,FS-6,Team Member,Maura Valerio,20
Mission to the United Nations (USUN),male,GS-14,Manager,   Charles Crampton,17
Trafficking in Persons (TIP),male,GS-14,Manager,Alan Larue,24
Medical Services (MED),male,FS9,Team Member,Kevin Ng,18
"Democracy, Human Rights, and Labor (DRL)",female,N/A,Team Member,Shiela Price     ,1
Mission to the United Nations (USUN),female,FS-3,Manager,Norene Foster,18
Science & Technology Adviser (STAS),female,SFS-5,Executive,Amber Boatman,21
Medical Services (MED),female,FS-8,Team Member,Stacy Moon,21
Chief Information Officer (CIO),male,GS-8,Team Member,    Ronald Rogers,7
"Management Policy, Rightsizing and Innovation (PRI)",female,N/A,Team Member,Lillie Brown,11
Legislative Affairs (H),male,FS-1,Manager,Keith Riddle,6
Chief Information Officer (CIO),female,FS3,Manager,Nicole Kelley,14
Oceans and International Environmental and Scientific Affairs(OES),female,GS-13,Team Member,  Carol Perez ,2
"Democracy, Human Rights, and Labor (DRL)",male,FS-7,Team Member,Tederous     ,3
Policy Planning Staff (S/P),male,FS-3,Mgmt,  Thomas Credeur,6
Counterterrorism (CT),female,FS-4,Team Member,Rhonda Bravo     ,16
Foreign Missions (OFM),male,GS-8,Team Member,John Mckinney ,4
Medical Services (MED),male,GS-9,Team Member,Derrick Rady   ,6
International Security and Nonproliferation (ISN),male,GS-10,Team Member, Eddie Sherman,6
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",male,FS-8,Team Member,   Robert Young,4
Administration (A),female,N/A,Team Member,Sharon Pang,22
Intelligence and Research (INR),male,FS-8,Team Member,Kevin Pettit,10
Science & Technology Adviser (STAS),female,GS-11,Team Member,   Valerie Michel,7
Oceans and International Environmental and Scientific Affairs(OES),male,FS-7,Analyst,Brown,25
Administration (A),male,FS-8,Team Member,Scott Lamay,18
International Information Programs (IIP),female,GS8,Team Member,Betty Cassity,5
Global Youth Issues (GYI),male,GS-8,Analyst,John Christenson,21
Budget and Planning (BP),female,FS-6,Team Member,    Ana Hull   ,7
"Democracy, Human Rights, and Labor (DRL)",female,GS-13,Manager,Sherrie Wilson,9
