Bureau,Gender,Grade,Name,Skills,YearsService
Overseas Buildings Operations (OBO),male,FS 3,Frederick Childs,"Healthcare, leadership",19
South and Central Asian Affairs (SCA),male,FS-8,Rudy Emberling,"email, Chinese, Management, Visualization",8
Quadrennial Diplomacy and Development Review (QDDR),female,N/A,    Katrina Watts,"disease response, Research, French, SEO, Design, Economics, Social Media, Visualization, Spanish",2
Comptroller and Global Financial Services (CGFS),female,GS-11,     Anna Pierce,"Operations, Tourism, Network Security, Disaster Response, Excel, Visualization, Hydrology",18
Consular Affairs (CA),female,GS 11,Maria Addis,"foreign policy, Design",4
Administration (A),male,N/A,Robert Lucas,"excel, Climatology, human resources, administration, Hydrology",14
Legal Adviser (L),male,N/A,Walter King,"Spanish, French, Graphics, hydrology, economics, Email",21
Policy Planning Staff (S/P),female,N/A,Ruth Taylor,"Budget, economics, Healthcare, Finance, Management, Operations, Government, Chinese, Human Resources, disease response",3
Intelligence and Research (INR),female,N/A,June Denson,"Communications, Management, Foreign Policy, writing, Disaster Response, Tourism",23
Overseas Buildings Operations (OBO),female,GS-8,Jadwiga Sawyer,"disaster response, Engineering, Education, Design, Budget",15
African Affairs (AF),male,GS-10,     Jonathan Parsons,"Management, Training, Tourism, Finance, planning",8
Protocol (S/CPR),male,FS 8,Royce Fejes,"Cloud Computing, Social Media, editing, Design, Planning, Excel, disease response, Research, Engineering, Government",20
African Affairs (AF),female,N/A,   Iva Hickman    ,,25
Global Engagement Center(GEC),female,FS6,    Minnie Laney,"Powerpoint, Tourism, Communications, Data Analysis, Chinese, Leadership, disaster response, Human Resources, Visualization, Editing",13
Educational and Cultural Affairs (ECA),female,FS-4,Michelle Burns,"planning, Email, Human Resources, Powerpoint, hydrology, Social Media, IT, Design, SEO, Chinese, Research",20
East Asian and Pacific Affairs (EAP),female,FS-8,Harriette Mcintyre ,"Social Media, Design, Sharepoint, Web Development, Graphics, Excel, Japanese, tourism, Administration, Engineering, Climatology",18
Foreign Service Institute (FSI),male,N/A,Stephen Carlock ,"Sharepoint, French, Research",5
International Security and Nonproliferation (ISN),female,SFS-5,Mildred Baranowski,"Sharepoint, IT, chinese, network security, healthcare, Outlook, Web Development, data analysis, Spanish",24
Inspector General (OIG),male,FS 8,Fredrick Alger   ,"Cloud Computing, Economics, Climatology, Graphics, Writing, government, Interagency, Budget, Administration, Design",9
Conflict and Stabilization Operations (CSO),female,GS-12,Sorenson,"it, engineering, Disaster Response, Administration, Data Analysis, healthcare, French, Hydrology, Economics, Social Media, Outlook, Visualization",13
International Security and Nonproliferation (ISN),female,GS-14,Rosa Woods  ,"Cloud Computing, Sharepoint, Human Resources, Interagency, IT",1
Diplomatic Security (DS),male,GS-12,James Miller,Government,17
Administration (A),male,GS-7,Timothy Maccarone,"Management, Planning, Disaster Response, it, Budget, Email, editing",12
Allowances (A/OPR/ALS),female,GS 15,Florinda Rodriguez,"French, Marketing, Writing, Foreign Policy, IT, German, Design",21
Global AIDS Coordinator (S/GAC),female,N/A,Florence Quick    ,"research, Hydrology, Data Analysis, Operations, Design, IT",6
Political-Military Affairs (PM),male,GS 10,Matthew Perez,"Finance, Human Resources, Planning, Chinese, Spanish, Government, writing, interagency, Graphics",5
Director General of the Foreign Service and Director of Human Resources (DGHR),female,N/A,Angela Early,"Email, Operations, Engineering, chinese, Spanish, Portuguese",16
East Asian and Pacific Affairs (EAP),female,N/A,Hernandez,"Operations, Management, Portuguese, japanese, visualization",21
Oceans and International Environmental and Scientific Affairs(OES),female,FS-1,Sara Trail,"Visualization, excel, Cloud Computing, Tourism, healthcare, Foreign Policy, Social Media, IT, hydrology",24
Counterterrorism (CT),female,GS-9,Samantha Orear,"Powerpoint, email, training, Writing, IT, Japanese, education",6
Intelligence and Research (INR),female,N/A, Katherine Forrest,,3
Budget and Planning (BP),male,N/A,Jeremy Townsend    ,"Email, Portuguese, Education, tourism, Design, Administration, interagency, SEO",24
Quadrennial Diplomacy and Development Review (QDDR),male,N/A,Daniel Reed,"Research, Cloud Computing, excel, Graphics, Hydrology, Communications, economics, Government, Email, data analysis",15
Allowances (A/OPR/ALS),female,GS-10,Mary Allen,"Operations, graphics, Writing, Outlook, Hydrology, data analysis",6
"Population, Refugees, and Migration (PRM)",male,N/A,Ralph Pennisi,Powerpoint,25
Legal Adviser (L),female,GS-10, Megan Croft,"Writing, planning, Web Development, Economics, Disease Response, network security, Powerpoint, french, Management, portuguese, Tourism",4
Public Affairs (PA),female,N/A,Mary Lobato,"Data Analysis, Cloud Computing, Interagency",19
Energy Resources (ENR),female,GS13,  Allison Hensley,"Planning, Hydrology, Foreign Policy, powerpoint, Engineering, Graphics, Portuguese",9
Executive Secretariat (S/ES),male,N/A,Erik Bishop,"government, Management, Outlook, German",13
Global AIDS Coordinator (S/GAC),male,FS-6,Victor Weems ,"Social Media, chinese",21
"Democracy, Human Rights, and Labor (DRL)",female,GS-8,Muscarella,,4
Political-Military Affairs (PM),female,GS10,Margaret Davis   ,"Research, marketing, Cloud Computing, data analysis",6
Near Eastern Affairs (NEA),female,FS 2,Adrienne Demmer  ,"powerpoint, Social Media, japanese",9
International Information Programs (IIP),female,FS-6,Amanda Mendoza,Leadership,25
East Asian and Pacific Affairs (EAP),male,SES-1,Gary Recio,Disease Response,21
Counterterrorism (CT),female,FS-7,Irene Enyart,"Foreign Policy, French, Powerpoint, Economics, it, Cloud Computing, sharepoint, Finance, Email",5
Conflict and Stabilization Operations (CSO),female,FS-2,Janice Layton    ,"Visualization, Network Security, Operations, Chinese, Data Analysis, Training, Climatology, Social Media, Engineering",21
Information Resource Management (IRM),male,GS-7,Babb,"Social Media, sharepoint, Leadership, Human Resources, Administration, foreign policy, Network Security, data analysis, tourism",19
Budget and Planning (BP),male,GS-7,    Shook  ,"education, climatology, communications, research, Leadership, hydrology",19
African Affairs (AF),male,FS-2, Scott Tomlinson  ,"Engineering, Spanish, SEO, Training, Climatology",17
Allowances (A/OPR/ALS),female,N/A,Phillips,"Foreign Policy, Visualization, powerpoint, writing, Climatology, Spanish, interagency, Excel, Government",14
Intelligence and Research (INR),male,GS-8,Gerald Cowart,"Outlook, management, finance, Foreign Policy, research, Writing, government, IT, French, editing, cloud computing",3
Legislative Affairs (H),female,GS 15,Pamela Garrison,,7
"Arms Control, Verification and Compliance (AVC)",female,FS-5,Harris,"Disaster Response, Visualization, Sharepoint, Network Security, Education, engineering, Outlook, email, Administration, planning, spanish, Marketing",2
Human Resources (DGHR),male,FS-5,   Robert Morrison,Writing,14
Educational and Cultural Affairs (ECA),male,N/A,     Lee Juarez,"Design, engineering, Communications",7
Quadrennial Diplomacy and Development Review (QDDR),male,GS-7,Manuel Ferra,"Japanese, German, Disease Response, communications, Cloud Computing, Network Security, Visualization",8
Global Criminal Justice (GCJ),male,GS-11,Jack Browder   ,"portuguese, Powerpoint, Education, Writing, visualization, social media, Editing, French, Finance, Cloud Computing, Healthcare",5
Overseas Buildings Operations (OBO),female,FS-6,    Jean Ramos ,"Data Analysis, engineering, Web Development, Writing, Outlook",21
Educational and Cultural Affairs (ECA),male,GS-11,     Sammy Lira,IT,2
Executive Secretariat (S/ES),female,N/A,  Victoria Scott,"Web Development, Powerpoint, Education, Economics, Sharepoint",23
"Management Policy, Rightsizing and Innovation (PRI)",female,FS-9,Lucretia Galvan,"Design, Sharepoint, Administration, german, Tourism, training, Disaster Response",21
Global Engagement Center(GEC),male,N/A,Richard Manley,finance,5
Allowances (A/OPR/ALS),female,FS-8,Hammonds,"Design, network security, Research, hydrology, foreign policy, IT, Management, French",25
Oceans and International Environmental and Scientific Affairs(OES),female,FS-8,Rose Phariss,"writing, Disaster Response, Research, engineering",6
Medical Services (MED),male,N/A,Sylvester Dunham,"Marketing, research, french, Planning, Social Media, Hydrology, Operations",10
Budget and Planning (BP),female,GS-14,   Mitchell,"seo, disease response, Operations, planning, hydrology, Tourism, Cloud Computing, Chinese",24
Trafficking in Persons (TIP),female,FS-3,Betty Jones,"budget, Japanese",23
Legal Adviser (L),female,N/A, Mary Koski,writing,12
Foreign Assistance (F),female,FS-1,Odom    ,"Social Media, Disease Response",23
Allowances (A/OPR/ALS),male,N/A,Rodney Mcgilvray ,"French, Research, education, Healthcare, Portuguese, Sharepoint, IT, Japanese, engineering",22
East Asian and Pacific Affairs (EAP),female,N/A,Betty Torrence,"Marketing, Portuguese, Management, Cloud Computing, Economics, Email, Government, German",13
East Asian and Pacific Affairs (EAP),male,GS-8,Donald Sparks,"Research, french, Human Resources, Tourism, web development, Social Media, Spanish, Engineering, Budget, Climatology",5
Conflict and Stabilization Operations (CSO),female,FS-2,Lisa Leggett,"Budget, Spanish, Foreign Policy, Education",10
International Information Programs (IIP),male,GS-9,Daniel Newton,"Social Media, german, Interagency, Sharepoint, Education, Research, disease response",20
Diplomatic Security (DS),male,FS-3,Herbert Lovelace ,"french, disaster response",5
Foreign Assistance (F),female,GS-14,Mary Hasson    ,"Economics, it, Leadership, Design, Disease Response, french, Outlook",16
European and Eurasian Affairs (EUR),male,FS1,   Valero,"Marketing, Operations, Visualization",14
Global Women's Issues (S/GWI),male,N/A,John Chance,"Tourism, Outlook, training, Email, planning, Sharepoint, Human Resources",1
Counterterrorism (CT),female,FS5,Kristen Brigance,"Engineering, Spanish, SEO, Chinese, Network Security, Human Resources, Healthcare, email, Budget, foreign policy",4
Medical Services (MED),male,N/A,  Brian Koehler,"Engineering, economics, Writing, Spanish, human resources, Foreign Policy, Sharepoint, Communications, Network Security, Marketing, Disease Response",21
Public Affairs (PA),male,FS-8,Gregory Howard,"Powerpoint, Leadership, German, Management, Foreign Policy, Design, cloud computing, Government, tourism, excel, Graphics",14
African Affairs (AF),female,GS 11,Aimee Garver   ,"SEO, Finance, German, Foreign Policy, Budget, French, Chinese, Design, Network Security, Excel, Hydrology",22
Human Resources (DGHR),male,GS-15,    John Gingues,"Powerpoint, Human Resources",4
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",male,SES-1,Veltman,Research,25
Information Resource Management (IRM),female,N/A, Marjorie Bess,"German, portuguese, Visualization, Marketing, Human Resources, Writing, Chinese, Data Analysis, Training",24
Protocol (S/CPR),male,FS-5,Stuart Smart,"Network Security, Hydrology, government",10
Medical Services (MED),female,N/A,Theresa Lerner,"Foreign Policy, it, Portuguese, communications, Chinese, French, email",18
Global AIDS Coordinator (S/GAC),male,N/A,Duane Smith,"Interagency, Email, it, chinese, Foreign Policy, Editing",4
Director General of the Foreign Service and Director of Human Resources (DGHR),male,N/A,Salvador Brown,"government, Planning, Marketing, Writing, design, economics, Climatology, Education, Graphics, Foreign Policy, Chinese",13
International Narcotics and Law Enforcement Affairs (INL),male,GS-7,Dennis Herman,"Marketing, Training, Interagency",15
Legislative Affairs (H),female,GS-14,     Deborah Spivey,Cloud Computing,14
South and Central Asian Affairs (SCA),female,FS1,Brandy Smith,"Disaster Response, Graphics, editing",12
International Security and Nonproliferation (ISN),male,N/A,Edward Hammond,"Research, Disaster Response, Hydrology",21
Public Affairs (PA),female,FS-1,Annie Bell,"Healthcare, Operations, Data Analysis, Cloud Computing, Engineering, Editing, hydrology",25
Mission to the United Nations (USUN),female,N/A,Winnie James,"Communications, SEO, Design, Sharepoint, Engineering, spanish, visualization",9
Oceans and International Environmental and Scientific Affairs(OES),female,N/A,Patricia Hamm,"german, Research, Government, IT, Email, Editing, disease response, network security, administration, hydrology, SEO, Leadership",25
Chief Information Officer (CIO),male,GS-11,Robert Hudson,"Marketing, Foreign Policy, Writing, Excel",20
Quadrennial Diplomacy and Development Review (QDDR),female,N/A,Nancy Jackson,"Chinese, Foreign Policy, Research, Web Development, Economics, Engineering, Visualization, Interagency, japanese, social media, Climatology, Hydrology",3
Counterterrorism (CT),female,GS-12,Dora Amaro ,Research,24
International Organization Affairs (IO),male,FS-6,Demps     ,"Leadership, Data Analysis, Cloud Computing, Hydrology, Email, sharepoint, Outlook, planning, Foreign Policy, disease response, Editing, Spanish",6
Legal Adviser (L),female,FS-1,Carol Rios,,21
Foreign Service Institute (FSI),female,FS-8,Easter Ripp,"Training, Operations, Climatology, Tourism, Data Analysis, Management, Foreign Policy, Web Development, IT",11
"Democracy, Human Rights, and Labor (DRL)",female,GS14,Judy Eggert   ,design,17
Political-Military Affairs (PM),male,SFS-4, Craig Buttrey,"Portuguese, Disaster Response, Hydrology, Disease Response, Budget, government, japanese, Administration",19
Educational and Cultural Affairs (ECA),male,FS5,Thomas Dennie,"marketing, finance, SEO",23
Public Affairs (PA),male,FS-7,Harry Conkel,"SEO, Graphics, Disease Response, Chinese, Design, it, Healthcare",15
Global Youth Issues (GYI),male,FS5,John Warren,,1
"Population, Refugees, and Migration (PRM)",female,FS-8,   Amy Miller,"spanish, Network Security, Cloud Computing, Economics, disaster response, Tourism, outlook, Communications, Budget, French",23
Foreign Assistance (F),male,FS-9,Claud Stark,"Budget, Data Analysis, German, Editing, Communications, Powerpoint, Finance, Foreign Policy, Government, graphics, Research",6
Chief Information Officer (CIO),female,N/A,Ruby Leigland,"Budget, Sharepoint",1
Human Resources (DGHR),male,N/A,James,"Writing, Operations, Communications, Spanish, Management, Design, Budget, Engineering",20
Diplomatic Security (DS),male,GS 15,Robert Crawford  ,"Government, Hydrology, Climatology, German, Graphics, management, Training, Email, editing",21
Inspector General (OIG),female,GS-12,Zeiler   ,"design, sharepoint, Education, tourism, Outlook, social media, French, Portuguese, Powerpoint, Graphics, climatology, Disaster Response",18
"Democracy, Human Rights, and Labor (DRL)",female,GS-10, Mildred Williams,leadership,17
Science & Technology Adviser (STAS),female,FS-2,Luz Bowers     ,"Spanish, Economics, Research, Healthcare, writing, Government, Sharepoint, Editing, Disaster Response",8
Energy Resources (ENR),female,GS-15,Molly Hale   ,"Education, Administration, Social Media, Japanese, Climatology, Tourism, Communications, Portuguese, research, Training, Disease Response, Writing",24
Educational and Cultural Affairs (ECA),female,N/A,   Jacquelyn Stewart,"Hydrology, Training, Portuguese, French, Interagency, Data Analysis, japanese, Management, powerpoint, disease response, Spanish",4
Energy Resources (ENR),female,N/A,     Shelia Mark,"Editing, Chinese",8
Foreign Assistance (F),male,N/A,     Douglas Beasley,"tourism, Foreign Policy, Chinese, french, healthcare, Graphics",25
Global Criminal Justice (GCJ),female,GS-8,Maria Woody,"Excel, Operations, healthcare",16
Western Hemisphere Affairs (WHA),male,FS3,Jessie Sutton ,"Education, Social Media, Chinese, Writing, powerpoint, Web Development, graphics",15
Protocol (S/CPR),male,FS4,Bobby Torres,"spanish, French, Excel, Research, Japanese, Marketing, Network Security, Government",17
Chief Information Officer (CIO),male,FS-9,Santarpia   ,"Social Media, Design, foreign policy, Marketing, Leadership, Planning, SEO, tourism, Finance, Graphics",7
Diplomatic Security (DS),female,FS-6,     Lorraine Fuchs   ,human resources,1
European and Eurasian Affairs (EUR),male,FS-4,Adam Marcus    ,"Healthcare, Leadership, Network Security, Chinese, Excel, communications, cloud computing, Government, hydrology, Sharepoint",10
International Organization Affairs (IO),female,FS-9, Barbara Harper,"Communications, human resources, Healthcare, government, Cloud Computing, Japanese, Editing",14
Global Youth Issues (GYI),male,FS-2,Charles Henry,"french, Network Security, Research, Economics",24
Chief Information Officer (CIO),male,GS-7,Gregory Murray,"Writing, training, Research, Email, Government, Data Analysis, Tourism, seo, German, Marketing, Budget, IT",7
Policy Planning Staff (S/P),female,N/A,Sarah Bolt    ,"Education, Spanish, Budget, Operations, Marketing, Data Analysis, email, planning, seo, research",3
"Management Policy, Rightsizing and Innovation (PRI)",female,GS-7,Patricia Goodsell,"Email, Disease Response, Research, finance, Disaster Response, Climatology, Cloud Computing, hydrology, interagency",4
Medical Services (MED),male,SFS-5,Winston Tinkler,"Social Media, Design, Tourism, economics, Healthcare, Cloud Computing, german",25
Global Criminal Justice (GCJ),female,FS-4,Cecilia Weaver,"Interagency, email, Outlook, Engineering, Editing, German, Human Resources, Disaster Response, Marketing, Spanish",12
Legal Adviser (L),male,SES-4, Sherman Noble,,19
Policy Planning Staff (S/P),female,N/A,Burke,"administration, SEO, Foreign Policy, Training, Spanish, Climatology, Education, Engineering, Research",7
Global Youth Issues (GYI),female,N/A,Kathleen Hellman,"Human Resources, network security, Design, Administration, Healthcare, Writing",13
Legal Adviser (L),female,GS-10,    Lopez    ,"Training, Spanish, Disaster Response, Communications, Visualization, Data Analysis, Engineering, Portuguese, leadership, SEO, Economics",19
Foreign Assistance (F),female,FS4,     Hope Marsh,"SEO, Economics, social media, Hydrology, Communications, German, writing, Editing, Web Development, Administration, Design, Sharepoint",5
Oceans and International Environmental and Scientific Affairs(OES),male,N/A,Ferguson,Operations,21
"Democracy, Human Rights, and Labor (DRL)",female,FS 9,Geraldine Swift,,16
Diplomatic Security (DS),female,GS-7,    Jennifer Morton,"Chinese, portuguese, Research, Human Resources, Disaster Response, Hydrology, french, Network Security, Outlook, Disease Response",9
Counterterrorism (CT),male,N/A,Grant Ciprian,"Spanish, Finance, Human Resources, writing, Portuguese, training, french",12
Foreign Service Institute (FSI),female,GS-11,   Leslie Anderson,"Portuguese, powerpoint, Japanese, German, French, tourism, Engineering, data analysis, Disease Response, Cloud Computing, writing, Human Resources",23
"Population, Refugees, and Migration (PRM)",female,N/A,Ellen Taylor,"administration, Hydrology, IT, Network Security, German",2
Medical Services (MED),male,N/A,Charles Mahaffey    ,,18
International Narcotics and Law Enforcement Affairs (INL),female,GS-9, Joan Berry,"Japanese, Foreign Policy, Sharepoint, chinese, Cloud Computing, Writing, interagency, Human Resources, finance, economics, Operations, Government",7
Global Criminal Justice (GCJ),male,N/A,  Wallace Labrum,"Engineering, Budget, climatology, Operations, sharepoint, Cloud Computing",23
International Organization Affairs (IO),female,N/A,Nellie Lane,,2
Legislative Affairs (H),male,GS-10,Ramon Steger,"Research, social media, web development, Healthcare, planning, Spanish, Interagency, communications, excel, portuguese, Powerpoint, disaster response",25
Administration (A),male,FS6,John Buckley,"Chinese, Marketing, training, German, seo, Finance, Operations, Excel, Administration, Planning, Visualization",10
Overseas Buildings Operations (OBO),male,FS-9,Michael Nava   ,"chinese, Management, Climatology, japanese, Cloud Computing, healthcare, Data Analysis, Engineering",16
International Security and Nonproliferation (ISN),female,FS-9,Sonja Potter,"IT, Operations, powerpoint, Japanese, Sharepoint, Visualization, Education, Interagency",15
Global AIDS Coordinator (S/GAC),female,N/A,Erin Lee,Email,13
South and Central Asian Affairs (SCA),male,FS-3,John Brown,"Hydrology, Marketing, Design, Network Security",24
"Democracy, Human Rights, and Labor (DRL)",male,GS-13,Carl Freund,Chinese,4
International Organization Affairs (IO),female,GS-8,  Carmella Clark ,Spanish,21
Human Resources (DGHR),female,FS-2,Tania Herring,"Spanish, Network Security, graphics, Data Analysis, web development, Hydrology, Social Media, Marketing, Education, Engineering",3
Trafficking in Persons (TIP),female,FS-9,Eileen Carlson  ,"Marketing, Spanish, administration",8
African Affairs (AF),female,N/A,Shirley Martin,"network security, Leadership, Planning, economics, Data Analysis, Web Development, Graphics",11
International Security and Nonproliferation (ISN),female,FS-9,Gloria Cruz,,8
Allowances (A/OPR/ALS),male,GS-14,Stokes,"sharepoint, training",7
"Population, Refugees, and Migration (PRM)",male,GS-7,Alexander Panter  ,"Research, Marketing",4
Diplomatic Security (DS),male,GS-7,Steven Melton   ,"budget, Hydrology, network security, Climatology, Education, Powerpoint, Web Development, German, Operations",23
"Management Policy, Rightsizing and Innovation (PRI)",male,FS-8,   Matthew Ayotte   ,"Japanese, disaster response, Administration, Finance, disease response, French, Outlook, Portuguese, Hydrology, powerpoint, Climatology",4
Conflict and Stabilization Operations (CSO),male,FS-7,Cornelius Jones   ,Human Resources,20
Science & Technology Adviser (STAS),female,FS-1,Iris Logan,"powerpoint, Healthcare, Chinese, Japanese, Hydrology, Writing, Leadership, marketing, Operations",7
Global Engagement Center(GEC),male,FS-6,Charles James,"Disease Response, outlook, tourism, Graphics, Excel, Email, education, Data Analysis",18
Legislative Affairs (H),female,N/A,Sharon Pinkard,"cloud computing, Planning, Healthcare, Editing, Writing, Visualization, Web Development, Interagency, Portuguese, Training, Budget, hydrology",4
Protocol (S/CPR),female,FS-8,Arlene Ramsey   ,"finance, tourism, Foreign Policy, operations, Network Security, Engineering, Planning, design",12
International Organization Affairs (IO),female,N/A,Carter     ,"visualization, SEO, Design, foreign policy",7
Science & Technology Adviser (STAS),male,FS-3,Carlos Perez,"Hydrology, German, Engineering, Web Development, Sharepoint, Writing, Spanish, Leadership, education, Tourism",8
Overseas Buildings Operations (OBO),male,FS-8,Eugene Crump,"Writing, Excel, Human Resources, Tourism",12
Director General of the Foreign Service and Director of Human Resources (DGHR),male,N/A,    Harrison,"Portuguese, Healthcare, Tourism, SEO, Economics, sharepoint",7
International Security and Nonproliferation (ISN),male,GS14,Jeff Wells,"Budget, German, Writing, Education, sharepoint, Healthcare, French, Training, Marketing, SEO, design",9
Comptroller and Global Financial Services (CGFS),male,GS-8,Michael Lugo,"Portuguese, Planning, Training, Communications, Cloud Computing, Healthcare, Hydrology, administration, chinese, Social Media, Editing, Email",24
"Arms Control, Verification and Compliance (AVC)",female,FS 2,Cierra Stevenson,,15
Counterterrorism (CT),male,FS4,Steven Price ,"marketing, Spanish, Social Media",6
Economic and Business Affairs (EB),male,FS-9,John Veenstra,"Engineering, Research, IT, Social Media, Training",9
Global AIDS Coordinator (S/GAC),female,FS-3,Shannon Jackson    ,"Outlook, Social Media, Disease Response, Engineering",4
Executive Secretariat (S/ES),female,GS-15,Vita Gausman,"graphics, planning, climatology, Portuguese, email, excel, budget",6
Protocol (S/CPR),female,N/A,Elisabeth Strawbridge     ,"Budget, Marketing",3
Diplomatic Security (DS),female,FS-1,Flora Shipley,,4
"Arms Control, Verification and Compliance (AVC)",male,FS-7,Gilbert Wagner,,24
Educational and Cultural Affairs (ECA),female,N/A,Tiffanie Wojenski,,4
"Arms Control, Verification and Compliance (AVC)",male,FS-2,Daniel Mccord,"Spanish, planning, Disease Response, Budget, leadership, writing, Marketing, Communications, Education",7
South and Central Asian Affairs (SCA),male,GS-13,Russell Sellers,"Interagency, climatology, Social Media, Engineering, Human Resources, disaster response, finance, education, Editing, Communications",12
Global Women's Issues (S/GWI),male,GS14,    Ronald Lindberg ,"IT, Healthcare, Web Development, German, Editing, sharepoint, foreign policy",19
Information Resource Management (IRM),male,GS-7,Donnell Randall     ,"Training, Portuguese, planning, Data Analysis, Administration, leadership, research, IT, SEO",17
Global Women's Issues (S/GWI),female,N/A,Rowena Steinborn,,16
Mission to the United Nations (USUN),male,FS-5,Martin Alfaro,"leadership, Email, healthcare, Research, Management, Budget",4
Budget and Planning (BP),male,N/A,Whitcher   ,"hydrology, Tourism, Spanish",22
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",male,N/A, Craig Gutierrez,"Human Resources, Social Media, Planning, Education, marketing",15
International Security and Nonproliferation (ISN),male,GS 14,Jason Young     ,Spanish,5
Diplomatic Security (DS),male,FS8,Todd Kirkland,"Finance, Leadership, it",23
Diplomatic Security (DS),female,FS-8,Muoi Brush,"seo, budget, Excel, Marketing, healthcare, network security, Economics, Data Analysis, Climatology, Tourism, french, Email",23
Foreign Missions (OFM),male,FS-6,Cole,"Spanish, Communications, Research, Tourism, Planning, marketing, network security, Social Media, outlook, Web Development, Interagency, sharepoint",3
Mission to the United Nations (USUN),female,N/A,Michelle Cantrell,"Education, Research, Administration, Excel",17
Trafficking in Persons (TIP),female,N/A,Barbara Bratton     ,Climatology,13
Intelligence and Research (INR),male,FS-2,     John Carriaga    ,"communications, Training, disease response, Economics, human resources, Marketing, Japanese, Interagency, Finance, climatology",20
Policy Planning Staff (S/P),male,N/A,     Lewis Damico,"editing, Human Resources, Disaster Response, Planning, Leadership, Finance, SEO",23
Foreign Assistance (F),female,N/A,Julie Mccollum,Excel,3
Comptroller and Global Financial Services (CGFS),male,GS-9,    Leyva,"Foreign Policy, Operations, government, Climatology",18
Trafficking in Persons (TIP),female,N/A,     Debra Unger   ,"Marketing, Social Media, Administration, Tourism, Network Security",5
Allowances (A/OPR/ALS),male,FS2,    Nathan Schulz,"Japanese, research, communications",17
Comptroller and Global Financial Services (CGFS),female,FS-7,   Brown,"Network Security, Editing",7
South and Central Asian Affairs (SCA),male,N/A,    Paul Lawrence,"Interagency, Disaster Response, Management",2
East Asian and Pacific Affairs (EAP),female,GS-13, Joanne Nozum    ,"Management, Network Security, Climatology, Outlook, Leadership, Sharepoint, Economics, writing, design",17
International Information Programs (IIP),male,GS8,Conrad Harvey,"Interagency, Editing, Network Security, Graphics, Tourism, Disease Response, writing, Japanese, Training, Government, Management",15
Administration (A),male,N/A,Daniel Cooper,,14
East Asian and Pacific Affairs (EAP),female,FS-8,Mary Wolfe   ,"cloud computing, hydrology, SEO, Climatology, Graphics, Writing, data analysis, Disease Response, French, Web Development, Portuguese, Operations",20
Global Women's Issues (S/GWI),male,FS-3,Samuel Wison,"finance, Cloud Computing, Human Resources, Planning, leadership, Management, Spanish, Training, Email, Marketing",12
European and Eurasian Affairs (EUR),male,N/A,Albert Hernandez ,"Communications, Government, Operations, Japanese, Education, economics, Portuguese, Marketing, Design, Hydrology",24
Inspector General (OIG),female,FS 3,     Karen Fata  ,Outlook,9
Consular Affairs (CA),male,N/A,    Christensen,"Editing, Network Security, French, education, Design, Healthcare",20
Consular Affairs (CA),female,GS-9,Sheila Yutzy,"powerpoint, Climatology, tourism, disaster response, Finance, email, Human Resources",25
Counterterrorism (CT),male,N/A,  Wiley Catholic,"interagency, Japanese, Sharepoint",12
Legal Adviser (L),female,GS-7,Norma Stevens,"Research, operations, administration, Chinese, Visualization, Network Security, Economics, Excel, IT, Climatology, Tourism",5
Conflict and Stabilization Operations (CSO),female,FS-1,Martha Creekmore,"Healthcare, Leadership, Visualization",18
Comptroller and Global Financial Services (CGFS),male,N/A, Perry Hart,"Editing, hydrology, it, SEO",7
Foreign Missions (OFM),female,FS-7,Jimmie Theall  ,"Planning, Leadership, Management, Engineering, government, Administration, chinese, Writing",9
Budget and Planning (BP),male,FS2,Adam Storer   ,"Marketing, Social Media, Email, Climatology, Tourism, Powerpoint, Administration, Budget, Web Development, Visualization",3
Medical Services (MED),female,GS9,Dora Stringham  ,"Climatology, Hydrology",12
Oceans and International Environmental and Scientific Affairs(OES),female,N/A, Nancy Schmidt,"education, interagency, Graphics, Writing, Excel, data analysis, tourism",10
Global Youth Issues (GYI),male,FS-7,Anthony Banker,"Outlook, Administration, Research, Writing, Education, Planning, Portuguese, Management, Graphics",7
Quadrennial Diplomacy and Development Review (QDDR),male,N/A,Howard Lovell     ,"editing, IT, Visualization, Administration, Research, Chinese, Planning, Cloud Computing, Interagency, budget",23
African Affairs (AF),female,FS9,Cathy Ellis  ,"Administration, marketing, Tourism",21
Political-Military Affairs (PM),female,FS-4, Denise Fetherston,"Research, Government, finance, SEO",3
Policy Planning Staff (S/P),male,N/A,Carlos Crow  ,"Email, Budget, Finance, Leadership, German, Portuguese, Administration, Foreign Policy",6
"Management Policy, Rightsizing and Innovation (PRI)",female,N/A,     Cheryl Peirce,"german, writing, training, Sharepoint, Healthcare, Government, SEO, Excel, French",6
Energy Resources (ENR),male,GS15, Lupe Foster,"Network Security, Web Development, Tourism, sharepoint, Chinese, Editing, Climatology, education",8
South and Central Asian Affairs (SCA),female,GS-12,Phyllis Caballero,"excel, SEO, Planning, Japanese, Social Media, Finance, Economics, Editing, Portuguese, Email, Government",1
Overseas Buildings Operations (OBO),male,SES-2,Ronnie Mireles,"Operations, Data Analysis, German, planning, visualization, disaster response, Powerpoint, Web Development, Social Media, communications, administration",23
Diplomatic Security (DS),female,GS-11,    Mildred Fisher,"Budget, french, planning, SEO, Research, Chinese, Economics, Finance, Web Development",8
